,i,j,Lon,Lat,SL,UC,Code,Error
26701001,3402,2928,113.383333333333,-7.58333333333333,54.192598931898,55.386940135757,13,212
26701002,3403,2928,113.416666666667,-7.58333333333333,43.51914007917,44.597426508973,13,212
26701003,3404,2928,113.45,-7.58333333333333,29.549647621656,30.276027375891,13,212
26701004,3405,2928,113.483333333333,-7.58333333333333,5.112787719675,4.546472369692,13,212
26701005,3406,2928,113.516666666667,-7.58333333333333,-19.125737858081,-20.65552785805,13,212
26701006,3407,2928,113.55,-7.58333333333333,-38.154544532988,-39.674234532988,13,212
26701007,3408,2928,113.583333333333,-7.58333333333333,-56.689644408943,-58.203664408943,13,212
26701008,3409,2928,113.616666666667,-7.58333333333333,-71.631239881092,-73.143869881071,13,212
26701009,3410,2928,113.65,-7.58333333333333,-79.626911854578,-81.142291854578,13,212
26701010,3411,2928,113.683333333333,-7.58333333333333,-76.633294039462,-78.155354039462,13,212
26701011,3412,2928,113.716666666667,-7.58333333333333,-56.064207092939,-57.852650910453,13,212
26701012,3413,2928,113.75,-7.58333333333333,-12.094364431334,-15.95741503285,13,212
26701013,3414,2928,113.783333333333,-7.58333333333333,40.682270002397,32.019940712504,13,212
26701014,3415,2928,113.816666666667,-7.58333333333333,84.5071644611023,70.5593516784337,13,212
26701015,3416,2928,113.85,-7.58333333333333,114.281547307678,97.3950171759365,13,212
26701016,3417,2928,113.883333333333,-7.58333333333333,125.991748367601,109.882812446996,13,212
26701017,3418,2928,113.916666666667,-7.58333333333333,125.528574578644,112.646161725861,13,212
26701018,3419,2928,113.95,-7.58333333333333,118.92801563738,111.416240560677,13,212
26701019,3420,2928,113.983333333333,-7.58333333333333,106.851745053037,105.543001975412,13,212
26701020,3421,2928,114.016666666667,-7.58333333333333,98.097837477742,98.3308254608898,13,212
26701021,3422,2928,114.05,-7.58333333333333,95.0407764838644,92.6759776947525,13,212
26701022,3423,2928,114.083333333333,-7.58333333333333,88.5315425980818,85.4329102766512,13,212
26701023,3424,2928,114.116666666667,-7.58333333333333,77.9285769686675,75.7141957915547,13,212
26701024,3425,2928,114.15,-7.58333333333333,69.9057738730095,65.7451128621713,13,212
26701025,3426,2928,114.183333333333,-7.58333333333333,63.4743985512309,56.5874434236633,13,212
26701026,3427,2928,114.216666666667,-7.58333333333333,56.1856867839637,49.274404891538,13,212
26701027,3428,2928,114.25,-7.58333333333333,52.4283159848119,46.274548281825,13,212
26701028,3429,2928,114.283333333333,-7.58333333333333,54.496810187755,48.4864727601814,13,212
26701029,3430,2928,114.316666666667,-7.58333333333333,58.1404337283128,52.45369865499,13,212
26701030,3431,2928,114.35,-7.58333333333333,60.2889994601395,55.4146162135934,13,212
26701031,3432,2928,114.383333333333,-7.58333333333333,63.7002188304428,59.2141642972765,13,212
26701032,3433,2928,114.416666666667,-7.58333333333333,66.3979076710697,61.7901042046999,13,212
26701033,3434,2928,114.45,-7.58333333333333,62.6654406561313,58.1630803354514,13,212
26701034,3435,2928,114.483333333333,-7.58333333333333,55.8126713620969,51.5495596928467,13,212
26701035,3436,2928,114.516666666667,-7.58333333333333,51.8859397015163,47.8000014884148,13,212
26701036,3437,2928,114.55,-7.58333333333333,51.5116425965346,47.3806391713423,13,212
26701037,3438,2928,114.583333333333,-7.58333333333333,54.1270144834382,49.8674370541444,13,212
26701038,3439,2928,114.616666666667,-7.58333333333333,60.465879328649,56.0701927517955,13,212
26701039,3440,2928,114.65,-7.58333333333333,70.3205393355113,65.5979363983279,13,212
26701040,3441,2928,114.683333333333,-7.58333333333333,81.2209327432039,75.9090406186507,13,212
26701041,3442,2928,114.716666666667,-7.58333333333333,89.6814815331564,83.5016638530036,13,212
26701042,3443,2928,114.75,-7.58333333333333,95.1340763381064,87.7615931353656,13,212
26701043,3444,2928,114.783333333333,-7.58333333333333,99.0617528534786,90.2240402162797,13,212
26701044,3445,2928,114.816666666667,-7.58333333333333,100.535339099923,90.7288966583408,13,212
26711744,3345,2927,111.483333333333,-7.55,189.584628148935,182.018088148932,13,212
26711745,3346,2927,111.516666666667,-7.55,195.34359390101,187.80166390101,13,212
26711746,3347,2927,111.55,-7.55,204.453745448756,196.943955448756,13,212
26711747,3348,2927,111.583333333333,-7.55,219.286208258219,211.816028258189,13,212
26711748,3349,2927,111.616666666667,-7.55,239.851408757481,232.428208757481,13,212
26711749,3350,2927,111.65,-7.55,263.384201791307,256.015231791266,13,212
26711750,3351,2927,111.683333333333,-7.55,287.261374544203,279.953734544164,13,212
26711751,3352,2927,111.716666666667,-7.55,305.856744814595,298.617394814595,13,212
26711752,3353,2927,111.75,-7.55,314.593838321519,307.429518321516,13,212
26711753,3354,2927,111.783333333333,-7.55,312.372638755965,305.289898755965,13,212
26711754,3355,2927,111.816666666667,-7.55,301.011063346386,294.016233346385,13,212
26711755,3356,2927,111.85,-7.55,287.426707009484,280.525867009509,13,212
26711756,3357,2927,111.883333333333,-7.55,278.625903106821,271.824863106821,13,212
26711757,3358,2927,111.916666666667,-7.55,274.433048424711,267.737348424711,13,212
