,i,j,Lon,Lat,SL,UC,Code,Error
26538978,3379,2943,112.616666666667,-8.08333333333333,-29.585938519285,-29.281718519273,13,212
26538979,3380,2943,112.65,-8.08333333333333,-31.212924127535,-30.855154127535,13,212
26538980,3381,2943,112.683333333333,-8.08333333333333,-23.298681989166,-22.891981989189,13,212
26538981,3382,2943,112.716666666667,-8.08333333333333,-5.748984801082,-5.298044801082,13,212
26538982,3383,2943,112.75,-8.08333333333333,17.293298260571,17.783718260571,13,212
26538983,3384,2943,112.783333333333,-8.08333333333333,38.806811362822,39.331881362788,13,212
26538984,3385,2943,112.816666666667,-8.08333333333333,52.5665447812564,53.1214047812564,13,212
26538985,3386,2943,112.85,-8.08333333333333,51.0321025184275,51.6118825184275,13,212
26538986,3387,2943,112.883333333333,-8.08333333333333,33.17276542704,33.772585427085,13,212
26538987,3388,2943,112.916666666667,-8.08333333333333,7.74158704566699,8.35656704566699,13,212
26538988,3389,2943,112.95,-8.08333333333333,-17.679510010871,-17.054200010871,13,212
26538989,3390,2943,112.983333333333,-8.08333333333333,-42.209914406429,-41.579074406429,13,212
26538990,3391,2943,113.016666666667,-8.08333333333333,-66.759319774791,-66.127699774791,13,212
26538991,3392,2943,113.05,-8.08333333333333,-91.770388383062,-91.142648383016,13,212
26538992,3393,2943,113.083333333333,-8.08333333333333,-117.912625513798,-117.293345513798,13,212
26538993,3394,2943,113.116666666667,-8.08333333333333,-142.593556645592,-141.987226645592,13,212
26538994,3395,2943,113.15,-8.08333333333333,-158.094579185085,-157.505569185069,13,212
26538995,3396,2943,113.183333333333,-8.08333333333333,-159.40963673912,-158.84218673912,13,212
26538996,3397,2943,113.216666666667,-8.08333333333333,-149.33319647282,-148.79141647282,13,212
26538997,3398,2943,113.25,-8.08333333333333,-129.510041090341,-128.997891090387,13,212
26549777,3378,2942,112.583333333333,-8.05,-18.465588228469,-18.55312822846,13,212
26549778,3379,2942,112.616666666667,-8.05,-20.635059842383,-20.657999842384,13,212
26549779,3380,2942,112.65,-8.05,-20.210290018922,-20.173010018922,13,212
26549780,3381,2942,112.683333333333,-8.05,-18.71917928554,-18.626179285545,13,212
26549781,3382,2942,112.716666666667,-8.05,-11.732441810054,-11.588321810054,13,212
26549782,3383,2942,112.75,-8.05,1.99455515442398,2.18510515442398,13,212
26549783,3384,2942,112.783333333333,-8.05,18.00447052148,18.236690521452,13,212
26549784,3385,2942,112.816666666667,-8.05,30.04548066739,30.31458066739,13,212
26549785,3386,2942,112.85,-8.05,30.570971479084,30.872101479084,13,212
26549786,3387,2942,112.883333333333,-8.05,16.374228000481,16.70252800052,13,212
26549787,3388,2942,112.916666666667,-8.05,-7.98262994328101,-7.63200994328099,13,212
26549788,3389,2942,112.95,-8.05,-34.724976777352,-34.356886777352,13,212
26549789,3390,2942,112.983333333333,-8.05,-59.594880390109,-59.214160390109,13,212
26549790,3391,2942,113.016666666667,-8.05,-82.951031256571,-82.562451256571,13,212
26549791,3392,2942,113.05,-8.05,-106.400699569509,-106.008979569465,13,212
26549792,3393,2942,113.083333333333,-8.05,-131.586031184903,-131.195811184903,13,212
26549793,3394,2942,113.116666666667,-8.05,-156.639549929687,-156.255399929687,13,212
26549794,3395,2942,113.15,-8.05,-173.840719477685,-173.467099477666,13,212
26549795,3396,2942,113.183333333333,-8.05,-177.720478711063,-177.361728711063,13,212
26549796,3397,2942,113.216666666667,-8.05,-170.312196669502,-169.972556669502,13,212
26549797,3398,2942,113.25,-8.05,-152.755319982284,-152.438869982327,13,212
26560577,3378,2941,112.583333333333,-8.01666666666667,-14.308281007887,-14.72447100789,13,212
26560578,3379,2941,112.616666666667,-8.01666666666667,-10.933393873249,-11.278583873258,13,212
26560579,3380,2941,112.65,-8.01666666666667,-9.161121447683,-9.43956144768302,13,212
26560580,3381,2941,112.683333333333,-8.01666666666667,-12.336101762842,-12.552171762833,13,212
26560581,3382,2941,112.716666666667,-8.01666666666667,-14.302479690316,-14.460689690316,13,212
26560582,3383,2941,112.75,-8.01666666666667,-9.935313945134,-10.040263945134,13,212
26560583,3384,2941,112.783333333333,-8.01666666666667,-0.607554117527002,-0.663924117545974,13,212
26560584,3385,2941,112.816666666667,-8.01666666666667,8.490033667174,8.47750366717401,13,212
26560585,3386,2941,112.85,-8.01666666666667,10.74714790632,10.77365790632,13,212
26560586,3387,2941,112.883333333333,-8.01666666666667,2.287444659746,2.34815465977201,13,212
26560587,3388,2941,112.916666666667,-8.01666666666667,-16.222416276385,-16.132356276385,13,212
26560588,3389,2941,112.95,-8.01666666666667,-39.37131541993,-39.25675541993,13,212
26560589,3390,2941,112.983333333333,-8.01666666666667,-62.015010341997,-61.880790341997,13,212
26560590,3391,2941,113.016666666667,-8.01666666666667,-85.008539383261,-84.859479383261,13,212
26560591,3392,2941,113.05,-8.01666666666667,-110.062571960807,-109.90342196076,13,212
26560592,3393,2941,113.083333333333,-8.01666666666667,-135.572285675795,-135.407775675795,13,212
26560593,3394,2941,113.116666666667,-8.01666666666667,-157.257824083755,-157.092574083755,13,212
26560594,3395,2941,113.15,-8.01666666666667,-170.498496285009,-170.337056284995,13,212
26560595,3396,2941,113.183333333333,-8.01666666666667,-175.608853364528,-175.455673364528,13,212
26560596,3397,2941,113.216666666667,-8.01666666666667,-175.268539767119,-175.127959767119,13,212
26560597,3398,2941,113.25,-8.01666666666667,-169.041839995175,-168.918059995194,13,212
26571377,3378,2940,112.583333333333,-7.98333333333333,-15.634531392274,-16.373251392274,13,212
26571378,3379,2940,112.616666666667,-7.98333333333333,-14.834046458352,-15.495526458355,13,212
26571379,3380,2940,112.65,-7.98333333333333,-15.493200595677,-16.081550595677,13,212
26571380,3381,2940,112.683333333333,-7.98333333333333,-20.443371183133,-20.96286118312,13,212
26571381,3382,2940,112.716666666667,-7.98333333333333,-25.800542266834,-26.255562266834,13,212
26571382,3383,2940,112.75,-7.98333333333333,-26.833019061369,-27.228089061369,13,212
26571383,3384,2940,112.783333333333,-7.98333333333333,-22.513320502996,-22.853030503008,13,212
26571384,3385,2940,112.816666666667,-7.98333333333333,-14.869329996698,-15.158369996698,13,212
26571385,3386,2940,112.85,-7.98333333333333,-7.782188567714,-8.02531856771398,13,212
26571386,3387,2940,112.883333333333,-7.98333333333333,-5.25677337005098,-5.45879337004899,13,212
26571387,3388,2940,112.916666666667,-7.98333333333333,-10.989552695733,-11.155312695733,13,212
26571388,3389,2940,112.95,-7.98333333333333,-24.872354490862,-25.006684490862,13,212
26571389,3390,2940,112.983333333333,-7.98333333333333,-43.887259995027,-43.995029995027,13,212
26571390,3391,2940,113.016666666667,-7.98333333333333,-68.464116525017,-68.550156525017,13,212
26571391,3392,2940,113.05,-7.98333333333333,-97.734021989988,-97.803151989933,13,212
26571392,3393,2940,113.083333333333,-7.98333333333333,-126.150537861079,-126.207517861079,13,212
26571393,3394,2940,113.116666666667,-7.98333333333333,-146.407392516252,-146.456922516252,13,212
26571394,3395,2940,113.15,-7.98333333333333,-155.5465990202,-155.593309020193,13,212
26571395,3396,2940,113.183333333333,-7.98333333333333,-160.611143120795,-160.659583120795,13,212
26571396,3397,2940,113.216666666667,-7.98333333333333,-166.934773360128,-166.989373360128,13,212
26571397,3398,2940,113.25,-7.98333333333333,-174.460725696963,-174.525815696949,13,212
26582177,3378,2939,112.583333333333,-7.95,-23.423421449399,-24.477531449389,13,212
26582178,3379,2939,112.616666666667,-7.95,-28.170105089509,-29.140885089502,13,212
26582179,3380,2939,112.65,-7.95,-32.441275451152,-33.332715451152,13,212
26582180,3381,2939,112.683333333333,-7.95,-37.598846096909,-38.415086096898,13,212
